,chromosome,createDate,entrezId,geneDescriptions,geneSymbol,id,mapLocation,synonyms,terms,updateDate
0,17,05/26/2013,672,"[{'description': 'BRCA1 is a tumor suppressor involved in the DNA damage response and DNA repair. BRCA1 germline mutations increase the risk of developing ovarian and/or breast cancer (PMID: 21285145) and somatic mutations are highest in NSCLC, pancreatic, and colon cancers (PMID: 27283171).', 'references': [{'id': 132, 'pubMedId': 21285145, 'title': 'Genetic modifiers of cancer risk for BRCA1 and BRCA2 mutation carriers.', 'url': 'http://www.ncbi.nlm.nih.gov/pubmed/21285145'}, {'id': 6299, 'pubMedId': 27283171, 'title': 'The Relevance of Hereditary Cancer Risks to Precision Oncology: What Should Providers Consider When Conducting Tumor Genomic Profiling?', 'url': 'http://www.ncbi.nlm.nih.gov/pubmed/27283171'}]}]",BRCA1,672,17q21.31,"['BRCAI', 'BRCC1', 'BROVCA1', 'FANCS', 'IRIS', 'PNCA4', 'PPP1R53', 'PSCP', 'RNF53']","['BRCA1', 'BRCAI', 'BRCC1', 'BROVCA1', 'FANCS', 'IRIS', 'PNCA4', 'PPP1R53', 'PSCP', 'RNF53']",07/24/2017
0,13,05/26/2013,675,"[{'description': 'BRCA2 is a tumor suppressor involved in the homologous recombination pathway for double-strand DNA repair. BRCA2 germline mutations increase the risk of developing ovarian and/or breast cancer (PMID: 23364291) and somatic mutations are highest in colon, NSCLC, and ovarian cancers (PMID: 27283171).', 'references': [{'id': 6299, 'pubMedId': 27283171, 'title': 'The Relevance of Hereditary Cancer Risks to Precision Oncology: What Should Providers Consider When Conducting Tumor Genomic Profiling?', 'url': 'http://www.ncbi.nlm.nih.gov/pubmed/27283171'}, {'id': 114, 'pubMedId': 23364291, 'title': 'BRCA1 and BRCA2 mutations in the ovarian cancer population across race and ethnicity: special reference to Asia.', 'url': 'http://www.ncbi.nlm.nih.gov/pubmed/23364291'}]}]",BRCA2,675,13q13.1,"['BRCC2', 'BROVCA2', 'FACD', 'FAD', 'FAD1', 'FANCD', 'FANCD1', 'GLM3', 'PNCA2', 'XRCC11']","['BRCA2', 'BRCC2', 'BROVCA2', 'FACD', 'FAD', 'FAD1', 'FANCD', 'FANCD1', 'GLM3', 'PNCA2', 'XRCC11']",07/24/2017
0,19,05/25/2013,811,"[{'description': 'CALR, calreticulin, encodes for a Ca(2+) chaperone protein that is primarily located in the endoplasmic reticulum. CALR frameshift mutations have been identified in essential thrombocytothemia and myelofibrosis (PMID: 24365789). ', 'references': [{'id': 3952, 'pubMedId': 24365789, 'title': 'Calreticulin gene exon 9 frameshift mutations in patients with thrombocytosis.', 'url': 'http://www.ncbi.nlm.nih.gov/pubmed/24365789'}]}]",CALR,811,19p13.13,"['cC1qR', 'CRT', 'HEL-S-99n', 'RO', 'SSA']","['CALR', 'cC1qR', 'CRT', 'HEL-S-99n', 'RO', 'SSA']",07/24/2017
0,11,05/26/2013,867,"[{'description': 'CBL, Cbl proto-oncogene, E3 ubiquitin protein ligase, is an E3 ubiquitin-protein ligase involved in cell signaling and ubiquitination of tyrosine kinases (PMID: 23085373). Loss-of-function mutations in CBL result in increased tyrosine kinase signaling and oncogenic transformation, which may be responsive to FLT3 inhibitors (PMID: 23085373, PMID: 22990016).', 'references': [{'id': 133, 'pubMedId': 23085373, 'title': 'Protein tyrosine kinase regulation by ubiquitination: critical roles of Cbl-family ubiquitin ligases.', 'url': 'http://www.ncbi.nlm.nih.gov/pubmed/23085373'}, {'id': 3302, 'pubMedId': 22990016, 'title': 'Flt3 inhibitor AC220 is a potent therapy in a mouse model of myeloproliferative disease driven by enhanced wild-type Flt3 signaling.', 'url': 'http://www.ncbi.nlm.nih.gov/pubmed/22990016'}]}]",CBL,867,11q23.3,"['C-CBL', 'CBL2', 'FRA11B', 'NSLL', 'RNF55']","['CBL', 'C-CBL', 'CBL2', 'FRA11B', 'NSLL', 'RNF55']",07/24/2017
0,3,05/26/2013,868,"[{'description': 'CBLB, Cbl proto-oncogene B, is an ubiquitin ligase that negatively regulates receptor tyrosine kinase signaling through targeted degradation of active kinases (PMID: 25477533). CBLB is a key regulator of immune system and loss of CBLB in mouse models results in increased anti-tumor immunity (PMID: 25477533).', 'references': [{'id': 3301, 'pubMedId': 25477533, 'title': 'Molecular pathways: cbl proteins in tumorigenesis and antitumor immunity-opportunities for cancer treatment.', 'url': 'http://www.ncbi.nlm.nih.gov/pubmed/25477533'}]}]",CBLB,868,3q13.11,"['Cbl-b', 'Nbla00127', 'RNF56']","['CBLB', 'Cbl-b', 'Nbla00127', 'RNF56']",07/24/2017
0,19,05/25/2013,23624,"[{'description': 'CBLC, Cbl proto-oncogene C, is an ubiquitin ligase that targets activated receptor kinases for degradation (PMID: 10362357). CBLC is identified as a potential diagnostic marker for lung cancers (PMID: 17671213).', 'references': [{'id': 5589, 'pubMedId': 10362357, 'title': 'cbl-3: a new mammalian cbl family protein.', 'url': 'http://www.ncbi.nlm.nih.gov/pubmed/10362357'}, {'id': 5590, 'pubMedId': 17671213, 'title': 'Clinical validity of the lung cancer biomarkers identified by bioinformatics analysis of public expression data.', 'url': 'http://www.ncbi.nlm.nih.gov/pubmed/17671213'}]}]",CBLC,23624,19q13.32,"['CBL-3', 'CBL-SL', 'RNF57']","['CBLC', 'CBL-3', 'CBL-SL', 'RNF57']",07/24/2017
0,16,05/26/2013,999,"[{'description': 'CDH1, cadherin 1, type 1, encodes E-Cadherin and is involved in epithelial cell-cell adhesion, cell signaling, differentiation, and polarity (PMID: 18726070, PMID: 26674224). CDH1 germline mutations are associated with hereditary diffuse gastric cancer and somatic mutations are found in gastric, breast, colon, and NSCLC cancers (PMID: 27283171, PMID: 25184143).', 'references': [{'id': 4194, 'pubMedId': 25184143, 'title': 'E-cadherin and gastric cancer: cause, consequence, and applications.', 'url': 'http://www.ncbi.nlm.nih.gov/pubmed/25184143'}, {'id': 4192, 'pubMedId': 26674224, 'title': 'CDH1/E-cadherin and solid tumors. An updated gene-disease association analysis using bioinformatics tools.', 'url': 'http://www.ncbi.nlm.nih.gov/pubmed/26674224'}, {'id': 4193, 'pubMedId': 18726070, 'title': 'The cell-cell adhesion molecule E-cadherin.', 'url': 'http://www.ncbi.nlm.nih.gov/pubmed/18726070'}, {'id': 6299, 'pubMedId': 27283171, 'title': 'The Relevance of Hereditary Cancer Risks to Precision Oncology: What Should Providers Consider When Conducting Tumor Genomic Profiling?', 'url': 'http://www.ncbi.nlm.nih.gov/pubmed/27283171'}]}]",CDH1,999,16q22.1,"['Arc-1', 'BCDS1', 'CD324', 'CDHE', 'ECAD', 'LCAM', 'UVO']","['CDH1', 'Arc-1', 'BCDS1', 'CD324', 'CDHE', 'ECAD', 'LCAM', 'UVO']",10/01/2017
0,9,05/26/2013,1029,"[{'description': 'CDKN2A encodes p16 and p14ARF, which inhibits Cdk4 and Cdk6  and regulates Tp53 activity to promotes cell-cycle arrest, respectively (PMID: 23875803, PMID: 17055429). CDKN2A germline mutations are associated with familial atypical multiple mole melanoma and somatic mutations are highest in pancreatic, HNSCC, NSCLC, and melanoma (PMID: 27283171).', 'references': [{'id': 138, 'pubMedId': 23875803, 'title': 'The genetics of melanoma: recent advances.', 'url': 'http://www.ncbi.nlm.nih.gov/pubmed/23875803'}, {'id': 6299, 'pubMedId': 27283171, 'title': 'The Relevance of Hereditary Cancer Risks to Precision Oncology: What Should Providers Consider When Conducting Tumor Genomic Profiling?', 'url': 'http://www.ncbi.nlm.nih.gov/pubmed/27283171'}, {'id': 4575, 'pubMedId': 17055429, 'title': 'The regulation of INK4/ARF in cancer and aging.', 'url': 'http://www.ncbi.nlm.nih.gov/pubmed/17055429'}]}]",CDKN2A,1029,9p21.3,"['ARF', 'CDK4I', 'CDKN2', 'CMM2', 'INK4', 'INK4A', 'MLM', 'MTS-1', 'MTS1', 'P14', 'P14ARF', 'P16', 'P16-INK4A', 'P16INK4', 'P16INK4A', 'P19', 'P19ARF', 'TP16']","['CDKN2A', 'ARF', 'CDK4I', 'CDKN2', 'CMM2', 'INK4', 'INK4A', 'MLM', 'MTS-1', 'MTS1', 'P14', 'P14ARF', 'P16', 'P16-INK4A', 'P16INK4', 'P16INK4A', 'P19', 'P19ARF', 'TP16']",07/24/2017
0,19,05/25/2013,1050,"[{'description': 'CEBPA, CCAAT/enhancer binding protein alpha, is a transcription factor that regulates haematopoiesis. CEBPA acts as a tumor suppressor in acute myeloid leukaemia (PMID: 26601784).', 'references': [{'id': 5328, 'pubMedId': 26601784, 'title': 'The multifaceted functions of C/EBPα in normal and malignant haematopoiesis.', 'url': 'http://www.ncbi.nlm.nih.gov/pubmed/26601784'}]}]",CEBPA,1050,19q13.11,"['C/EBP-alpha', 'CEBP']","['CEBPA', 'C/EBP-alpha', 'CEBP']",07/24/2017
0,5,05/25/2013,1436,"[{'description': 'CSF1R, macrophage colony-stimulating factor 1 receptor, is a tyrosine kinase and receptor for CSF1 and IL34. Ligand binding to CSF1R activates PI3K-AKT-mTOR, RAS-RAF-MEK-ERK and STAT signaling pathways (PMID: 22186992).', 'references': [{'id': 139, 'pubMedId': 22186992, 'title': 'Therapeutic applications of macrophage colony-stimulating factor-1 (CSF-1) and antagonists of CSF-1 receptor (CSF-1R) signaling.', 'url': 'http://www.ncbi.nlm.nih.gov/pubmed/22186992'}]}]",CSF1R,1436,5q32,"['C-FMS', 'CD115', 'CSF-1R', 'CSFR', 'FIM2', 'FMS', 'HDLS', 'M-CSF-R']","['CSF1R', 'C-FMS', 'CD115', 'CSF-1R', 'CSFR', 'FIM2', 'FMS', 'HDLS', 'M-CSF-R']",07/24/2017
0,1,05/26/2013,1441,"[{'description': 'CSF3R, colony stimulating factor 3 receptor, encodes for a cytokine receptor involved in signaling the differentiation, production and survival of granulocytes. CSF3R mutations commonly occur in leukemias (PMID: 23896413).', 'references': [{'id': 3950, 'pubMedId': 23896413, 'title': 'The new genetics of chronic neutrophilic leukemia and atypical CML: implications for diagnosis and treatment.', 'url': 'http://www.ncbi.nlm.nih.gov/pubmed/23896413'}]}]",CSF3R,1441,1p34.3,"['CD114', 'GCSFR', 'SCN7']","['CSF3R', 'CD114', 'GCSFR', 'SCN7']",07/24/2017
0,3,05/26/2013,1499,"[{'description': 'CTNNB1, beta-catenin, is a member of the WNT signaling pathway and component of cadherin-based adherens junctions. Imbalance of beta-catenin is implicated in cancer progression and metastasis (PMID: 22617422).', 'references': [{'id': 140, 'pubMedId': 22617422, 'title': 'The many faces and functions of β-catenin.', 'url': 'http://www.ncbi.nlm.nih.gov/pubmed/22617422'}]}]",CTNNB1,1499,3p22.1,"['armadillo', 'CTNNB', 'EVR7', 'MRD19']","['CTNNB1', 'armadillo', 'CTNNB', 'EVR7', 'MRD19']",07/24/2017
0,2,05/25/2013,1788,"[{'description': 'DNMT3A, DNA (cytosine-5)-methyltransferase 3A, plays a role in embryonic development and aberrant DNA methylation in cancer (PMID: 24649006).', 'references': [{'id': 142, 'pubMedId': 24649006, 'title': 'DNMT3A -448A>G polymorphism and the risk for hepatocellular carcinoma.', 'url': 'http://www.ncbi.nlm.nih.gov/pubmed/24649006'}]}]",DNMT3A,1788,2p23.3,"['DNMT3A2', 'M.HsaIIIA', 'TBRS']","['DNMT3A', 'DNMT3A2', 'M.HsaIIIA', 'TBRS']",07/24/2017
0,7,05/26/2013,1956,"[{'description': 'EGFR (HER1), epidermal growth factor receptor, is a tyrosine kinase receptor, which activates RAS/RAF/MEK and PI3K/AKT/mTOR pathways, leading to increased cell proliferation and growth (PMID: 24312144). EGFR activating mutations are commonly found in non-small cell lung cancer (PMID: 26609494). ', 'references': [{'id': 93, 'pubMedId': 24312144, 'title': 'Molecular Targeted Drugs and Biomarkers in NSCLC, the Evolving Role of Individualized Therapy.', 'url': 'http://www.ncbi.nlm.nih.gov/pubmed/24312144'}, {'id': 5162, 'pubMedId': 26609494, 'title': 'EGFR mutation incidence in non-small-cell lung cancer of adenocarcinoma histology: a systematic review and global map by ethnicity (mutMapII).', 'url': 'http://www.ncbi.nlm.nih.gov/pubmed/26609494'}]}]",EGFR,1956,7p11.2,"['ERBB', 'ERBB1', 'HER1', 'mENA', 'NISBD2', 'PIG61']","['EGFR', 'ERBB', 'ERBB1', 'HER1', 'mENA', 'NISBD2', 'PIG61']",07/24/2017
0,2,05/12/2013,27436,"[{'description': 'EML4, echinoderm microtubule associated protein like 4, plays a role in microtubule formation. The fusion protein of EML4-ALK results in transformation activity and is present in a small percentage of patients with non-small cell lung cancer (PMID: 17625570, PMID: 23341890).', 'references': [{'id': 2146, 'pubMedId': 23341890, 'title': 'Clinical significance of EML4-ALK fusion gene and association with EGFR and KRAS gene mutations in 208 Chinese patients with non-small cell lung cancer.', 'url': 'http://www.ncbi.nlm.nih.gov/pubmed/23341890'}, {'id': 2131, 'pubMedId': 17625570, 'title': 'Identification of the transforming EML4-ALK fusion gene in non-small-cell lung cancer.', 'url': 'http://www.ncbi.nlm.nih.gov/pubmed/17625570'}]}]",EML4,27436,2p21,"['C2orf2', 'ELP120', 'EMAP-4', 'EMAPL4', 'ROPP120']","['EML4', 'C2orf2', 'ELP120', 'EMAP-4', 'EMAPL4', 'ROPP120']",07/24/2017
0,17,05/26/2013,2064,"[{'description': 'ERBB2 encodes HER2, an EGFR receptor tyrosine kinase, which activates PI3K-AKT-mTOR and RAS-RAF-MEK-ERK pathways. ERBB2 (HER2) amplification has been implicated in several tumor types (PMID: 17471238).', 'references': [{'id': 145, 'pubMedId': 17471238, 'title': 'The oncogene HER2: its signaling and transforming functions and its role in human cancer pathogenesis.', 'url': 'http://www.ncbi.nlm.nih.gov/pubmed/17471238'}]}]",ERBB2,2064,17q12,"['CD340', 'HER-2', 'HER-2/neu', 'HER2', 'MLN 19', 'NEU', 'NGL', 'TKR1']","['ERBB2', 'CD340', 'HER-2', 'HER-2/neu', 'HER2', 'MLN 19', 'NEU', 'NGL', 'TKR1']",07/24/2017
0,2,05/25/2013,2066,"[{'description': 'ERBB4 encodes HER4, an EGFR receptor tyrosine kinase, which activates PI3K-AKT-mTOR and RAS-RAF-MEK-ERK pathways to promote cell survival and proliferation (PMID:17471238).', 'references': [{'id': 145, 'pubMedId': 17471238, 'title': 'The oncogene HER2: its signaling and transforming functions and its role in human cancer pathogenesis.', 'url': 'http://www.ncbi.nlm.nih.gov/pubmed/17471238'}]}]",ERBB4,2066,2q34,"['ALS19', 'HER4', 'p180erbB4']","['ERBB4', 'ALS19', 'HER4', 'p180erbB4']",07/24/2017
0,12,05/25/2013,2120,"[{'description': 'ETV6, ets variant 6, is a member of the ETS family of transcription factors, which functions as a transcriptional repressor and is involved in hematopoietic differentiation (PMID: 16828711). Fusions of ETV6 with various partners are frequently associated with hematological cancers (PMID: 22528774).', 'references': [{'id': 1203, 'pubMedId': 16828711, 'title': 'TEL/ETV6 induces apoptosis in 32D cells through p53-dependent pathways.', 'url': 'http://www.ncbi.nlm.nih.gov/pubmed/16828711'}, {'id': 6331, 'pubMedId': 22578774, 'title': 'ETV6 fusion genes in hematological malignancies: a review.', 'url': 'http://www.ncbi.nlm.nih.gov/pubmed/22578774'}]}]",ETV6,2120,12p13.2,"['TEL', 'TEL/ABL', 'THC5']","['ETV6', 'TEL', 'TEL/ABL', 'THC5']",07/24/2017
0,7,05/22/2013,2146,"[{'description': 'EZH2, enhancer of zeste 2 polycomb repressive complex 2 subunit, encodes the catalytic subunit of the polycomb repressive complex 2 and represses transcription of a number of tumor suppressor genes (PMID: 24362326).', 'references': [{'id': 149, 'pubMedId': 24362326, 'title': 'EZH2: biology, disease, and structure-based drug discovery.', 'url': 'http://www.ncbi.nlm.nih.gov/pubmed/24362326'}]}]",EZH2,2146,7q36.1,"['ENX-1', 'ENX1', 'EZH2b', 'KMT6', 'KMT6A', 'WVS', 'WVS2']","['EZH2', 'ENX-1', 'ENX1', 'EZH2b', 'KMT6', 'KMT6A', 'WVS', 'WVS2']",07/24/2017
0,4,05/25/2013,55294,"[{'description': 'FBXW7, F-box/WD repeat-containing protein 7, is part of the SCF E3 ubiquitin-protein ligase complex. FBXW7 participates in the degradation of a variety of oncoproteins and is deleted or mutated in many cancers (PMID: 22673505), including colorectal (PMID: 28424412).', 'references': [{'id': 152, 'pubMedId': 22673505, 'title': 'Tumor suppressor functions of FBW7 in cancer development and progression.', 'url': 'http://www.ncbi.nlm.nih.gov/pubmed/22673505'}, {'id': 9937, 'pubMedId': 28424412, 'title': 'FBXW7 missense mutation: a novel negative prognostic factor in metastatic colorectal adenocarcinoma.', 'url': 'http://www.ncbi.nlm.nih.gov/pubmed/28424412'}]}]",FBXW7,55294,4q31.3,"['AGO', 'CDC4', 'FBW6', 'FBW7', 'FBX30', 'FBXO30', 'FBXW6', 'hAgo', 'hCdc4', 'SEL-10', 'SEL10']","['FBXW7', 'AGO', 'CDC4', 'FBW6', 'FBW7', 'FBX30', 'FBXO30', 'FBXW6', 'hAgo', 'hCdc4', 'SEL-10', 'SEL10']",09/18/2017
0,8,05/25/2013,2260,"[{'description': 'FGFR1 is a receptor tyrosine kinase activated upon binding of the FGF ligand, which activates RAS-MAPK and PI3K-AKT pathways.  Altered function of FGFR1 in cancer may lead to increased cell proliferation and decreased apoptosis (PMID: 22508544).', 'references': [{'id': 153, 'pubMedId': 22508544, 'title': 'Fibroblast growth factor receptors in breast cancer: expression, downstream effects, and possible drug targets.', 'url': 'http://www.ncbi.nlm.nih.gov/pubmed/22508544'}]}]",FGFR1,2260,8p11.23,"['bFGF-R-1', 'BFGFR', 'CD331', 'CEK', 'ECCL', 'FGFBR', 'FGFR-1', 'FLG', 'FLT-2', 'FLT2', 'HBGFR', 'HH2', 'HRTFDS', 'KAL2', 'N-SAM', 'OGD']","['FGFR1', 'bFGF-R-1', 'BFGFR', 'CD331', 'CEK', 'ECCL', 'FGFBR', 'FGFR-1', 'FLG', 'FLT-2', 'FLT2', 'HBGFR', 'HH2', 'HRTFDS', 'KAL2', 'N-SAM', 'OGD']",07/24/2017
